user_id,product_id,rating
0,0,4
0,1,4
0,2,5
0,10,4
0,12,5
1,0,5
1,5,5
1,7,4
1,9,5
1,11,5
1,16,4
1,20,5
2,1,5
2,2,5
2,6,4
2,7,4
2,8,4
2,12,5
2,13,5
2,14,5
2,17,4
2,18,5
2,20,5
2,21,5
3,4,4
3,5,5
3,16,5
4,6,4
4,9,4
4,10,4
4,13,5
4,22,5
5,0,5
5,1,5
5,9,4
5,12,5
5,16,4
5,20,4
6,4,5
6,5,4
6,9,4
6,11,4
6,16,4
6,19,4
6,21,4
6,23,4
7,0,5
7,1,4
7,2,4
7,3,5
7,6,5
7,10,5
8,3,5
8,4,5
8,5,5
8,21,4
8,22,4
9,0,5
9,3,5
9,13,5
9,21,4
10,0,5
10,3,5
10,6,4
10,7,5
10,8,5
11,0,5
11,1,5
11,2,5
11,7,4
11,9,5
11,10,4
11,11,4
11,12,5
11,13,5
11,18,4
11,22,4
11,24,4
12,0,5
12,2,4
12,3,5
12,5,4
12,6,4
12,8,4
12,10,4
13,4,4
13,11,5
13,21,5
14,1,5
14,6,5
14,10,5
14,13,5
14,14,5
14,19,3
15,0,5
15,1,5
15,2,4
15,3,5
15,8,5
15,15,4
15,20,5
16,0,5
16,4,4
16,5,4
16,7,5
16,9,5
16,11,5
16,13,5
16,16,4
16,18,4
16,20,4
16,21,4
16,23,4
16,24,5
17,0,5
17,1,5
17,2,5
17,3,4
17,6,4
17,8,5
17,10,4
17,12,5
17,13,5
17,14,4
18,4,4
18,7,5
18,16,4
18,18,5
18,19,5
18,21,4
19,3,5
19,11,5
19,13,5
19,17,4
19,24,4
20,0,5
20,1,5
20,2,5
20,12,5
20,14,5
20,15,4
20,20,4
21,4,4
21,7,4
21,9,5
21,16,4
21,21,4
21,23,5
21,24,4
22,0,5
22,1,5
22,3,5
22,6,4
22,8,4
22,12,5
22,14,4
22,15,5
22,17,5
23,4,4
23,6,3
23,8,4
23,16,5
23,21,5
24,6,4
24,8,4
24,11,5
24,13,4
24,17,4
25,0,5
25,1,5
25,2,5
25,3,4
25,12,5
26,4,3
26,6,4
26,9,5
26,11,4
26,18,4
26,19,3
26,23,4
26,24,4
27,0,5
27,2,5
27,6,4
27,10,4
27,12,5
28,5,3
28,9,4
28,17,4
28,19,4
28,20,5
29,2,4
29,10,4
29,11,4
29,22,5
30,0,5
30,1,5
30,2,5
30,3,5
30,13,5
30,20,5
30,24,4
31,0,5
31,1,5
31,4,4
31,7,5
31,11,4
31,17,4
31,18,5
31,22,4
31,24,5
32,0,5
32,1,5
32,2,4
32,3,5
32,4,4
32,8,5
32,12,5
32,15,4
32,17,5
32,19,4
32,22,5
33,4,5
33,5,5
33,19,3
33,21,5
34,3,5
34,6,5
34,8,5
34,10,5
34,11,5
34,13,4
34,17,4
35,0,5
35,1,5
35,3,5
35,4,4
35,5,3
35,7,5
35,8,4
36,4,5
36,5,4
36,7,4
36,11,5
36,12,4
36,15,5
36,16,4
36,19,3
36,21,4
36,24,4
37,1,5
37,2,5
37,6,5
37,8,5
37,14,5
37,15,4
38,1,5
38,4,5
38,9,4
38,16,4
38,24,4
39,3,5
39,7,5
39,10,4
39,11,4
39,12,5
39,13,4
39,16,4
39,17,5
39,19,4
40,2,5
40,8,5
40,13,4
40,14,4
40,20,5
41,4,5
41,5,5
41,7,5
41,11,4
41,19,3
41,21,5
41,24,4
42,0,5
42,1,4
42,2,5
42,3,5
42,5,4
42,8,5
42,12,5
42,13,4
42,15,5
43,4,3
43,8,4
43,9,5
43,14,5
43,16,4
44,2,5
44,10,4
44,11,5
44,15,4
44,17,5
44,19,4
44,21,4
44,24,3
45,0,4
45,1,5
45,2,5
45,3,5
45,8,5
45,12,5
45,14,5
45,16,4
45,20,5
46,4,5
46,5,5
46,7,4
46,11,4
46,12,5
46,16,4
46,18,5
46,19,4
46,23,5
46,24,3
47,0,5
47,1,4
47,2,5
47,3,5
47,4,5
47,6,4
47,8,5
47,9,4
48,4,4
48,9,5
48,12,5
48,13,4
48,16,4
48,21,4
49,7,5
49,10,5
49,11,5
49,13,4
49,17,4
