user_id,product_id,rating
17,0,5
1,7,4
20,2,5
48,9,5
45,0,4
44,17,5
11,24,4
46,24,3
31,24,5
47,2,5
9,21,4
16,0,5
35,7,5
15,0,5
42,0,5
21,24,4
2,12,5
3,4,4
47,0,5
21,7,4
31,18,5
37,8,5
49,7,5
36,4,5
37,1,5
22,8,4
32,0,5
2,14,5
30,1,5
12,2,4
29,11,4
2,13,5
20,15,4
39,12,5
4,22,5
36,12,4
34,8,5
26,9,5
36,24,4
47,4,5
22,14,4
9,13,5
16,21,4
19,13,5
2,7,4
1,5,5
45,3,5
32,22,5
14,19,3
4,13,5
2,20,5
43,4,3
44,19,4
8,22,4
32,17,5
1,16,4
34,13,4
44,15,4
12,5,4
24,6,4
41,21,5
24,11,5
25,0,5
33,4,5
26,24,4
14,14,5
11,7,4
32,19,4
15,2,4
39,3,5
15,3,5
27,0,5
11,2,5
2,21,5
5,20,4
21,9,5
17,13,5
11,1,5
44,21,4
35,8,4
18,7,5
21,21,4
27,12,5
13,11,5
42,13,4
42,8,5
42,15,5
23,4,4
38,24,4
46,23,5
46,12,5
24,17,4
34,17,4
18,21,4
6,4,5
46,16,4
36,15,5
26,11,4
16,23,4
41,19,3
33,19,3
17,3,4
46,7,4
47,8,5
36,7,4
45,12,5
24,8,4
30,3,5
33,21,5
22,12,5
34,6,5
0,2,5
17,1,5
30,2,5
40,20,5
17,10,4
44,11,5
44,2,5
18,18,5
11,13,5
41,7,5
4,10,4
12,8,4
42,2,5
16,13,5
30,0,5
31,0,5
19,17,4
27,10,4
36,21,4
6,21,4
46,5,5
10,8,5
38,1,5
13,4,4
28,5,3
11,9,5
23,6,3
2,1,5
5,12,5
4,9,4
25,2,5
21,4,4
36,19,3
19,11,5
40,13,4
7,10,5
15,1,5
39,7,5
26,19,3
31,4,4
17,14,4
6,11,4
14,6,5
39,16,4
31,11,4
20,1,5
3,16,5
48,16,4
20,20,4
42,3,5
0,12,5
0,0,4
45,2,5
47,1,4
45,14,5
15,20,5
34,3,5
29,10,4
43,14,5
32,15,4
32,2,4
16,5,4
25,3,4
15,8,5
5,16,4
32,4,4
10,0,5
22,1,5
36,16,4
7,1,4
5,0,5
42,1,4
1,20,5
49,10,5
30,20,5
45,1,5
4,6,4
41,24,4
34,11,5
23,21,5
43,8,4
20,12,5
10,3,5
20,0,5
18,19,5
1,9,5
10,7,5
2,6,4
22,15,5
6,9,4
46,19,4
41,11,4
32,8,5
44,10,4
35,4,4
31,17,4
32,1,5
45,16,4
37,2,5
48,12,5
45,20,5
39,19,4
30,24,4
23,16,5
6,19,4
32,12,5
28,20,5
38,16,4
16,9,5
8,4,5
0,1,4
7,3,5
12,3,5
31,7,5
5,9,4
39,10,4
14,13,5
8,3,5
39,11,4
36,5,4
2,2,5
14,1,5
40,14,4
24,13,4
48,21,4
19,24,4
47,6,4
36,11,5
8,5,5
7,6,5
26,6,4
28,19,4
49,13,4
28,9,4
25,1,5
9,3,5
7,2,4
35,3,5
37,6,5
2,18,5
46,4,5
23,8,4
41,5,5
29,2,4
43,9,5
38,4,5
45,8,5
22,0,5
19,3,5
22,3,5
15,15,4
13,21,5
47,9,4
32,3,5
17,12,5
49,17,4
2,17,4
28,17,4
11,10,4
16,11,5
40,2,5
16,4,4
